year,checkpoint,calendar_month,simulation_month,promotion,roster,target,cap,cash,runway,stability,free_agents,world_contracted
2052,July,July,319,Legacy Fighting Alliance,144,144,168,35090931,3456000,65,412,1885
2052,July,July,319,ONE Championship,196,200,224,60216398,4800000,66,412,1885
2052,July,July,319,Oktagon MMA,155,160,184,54483294,3840000,57,412,1885
2052,July,July,319,Professional Fighters League,199,200,224,58283911,4800000,75,412,1885
2052,July,July,319,RIZIN Fighting Federation,174,176,200,49055805,4224000,72,412,1885
2052,July,July,319,Ultimate Fighting Championship,268,280,304,86629063,6720000,57,412,1885
2052,December,December,324,Absolute Championship Akhmat,144,144,168,56168012,3456000,66,414,1897
2052,December,December,324,BAMMA,142,144,168,23909883,3456000,52,414,1897
2052,December,December,324,BRAVE Combat Federation,144,144,168,55309827,3456000,79,414,1897
2052,December,December,324,Cage Warriors,160,160,184,33219318,3840000,65,414,1897
2052,December,December,324,KSW,160,160,184,34693111,3840000,53,414,1897
2052,December,December,324,Legacy Fighting Alliance,144,144,168,34877687,3456000,67,414,1897
2052,December,December,324,ONE Championship,199,200,224,64835883,4800000,69,414,1897
2052,December,December,324,Oktagon MMA,158,160,184,56809382,3840000,61,414,1897
2052,December,December,324,Professional Fighters League,200,200,224,64575491,4800000,76,414,1897
2052,December,December,324,RIZIN Fighting Federation,176,176,200,46444355,4224000,73,414,1897
2052,December,December,324,Ultimate Fighting Championship,270,280,304,92396533,6720000,60,414,1897
2053,July,July,331,Absolute Championship Akhmat,144,144,168,55135591,3456000,70,416,1906
2053,July,July,331,BAMMA,144,144,168,27639571,3456000,57,416,1906
2053,July,July,331,BRAVE Combat Federation,144,144,168,54086072,3456000,81,416,1906
2053,July,July,331,Cage Warriors,160,160,184,33411230,3840000,68,416,1906
2053,July,July,331,KSW,160,160,184,41046925,3840000,57,416,1906
2053,July,July,331,Legacy Fighting Alliance,144,144,168,37429455,3456000,69,416,1906
2053,July,July,331,ONE Championship,200,200,224,71757807,4800000,73,416,1906
2053,July,July,331,Oktagon MMA,160,160,184,64074294,3840000,66,416,1906
2053,July,July,331,Professional Fighters League,200,200,224,72147803,4800000,79,416,1906
2053,July,July,331,RIZIN Fighting Federation,176,176,200,47459095,4224000,75,416,1906
2053,July,July,331,Ultimate Fighting Championship,274,280,304,112394819,6720000,66,416,1906
2053,December,December,336,Absolute Championship Akhmat,144,144,168,57892740,3456000,73,415,1908
2053,December,December,336,BAMMA,144,144,168,26408410,3456000,59,415,1908
2053,December,December,336,BRAVE Combat Federation,144,144,168,52729009,3456000,82,415,1908
2053,December,December,336,Cage Warriors,160,160,184,34780024,3840000,69,415,1908
2053,December,December,336,KSW,160,160,184,44194592,3840000,61,415,1908
2053,December,December,336,Legacy Fighting Alliance,142,144,168,36589893,3456000,69,415,1908
2053,December,December,336,ONE Championship,200,200,224,66034339,4800000,74,415,1908
2053,December,December,336,Oktagon MMA,160,160,184,59404288,3840000,67,415,1908
